lsoa11cd,rank,decile
W01000474,1241,7
W01000475,1104,6
W01000476,1577,9
W01000477,1098,6
W01000478,412,3
W01000479,512,3
W01000480,379,2
W01000481,1470,8
W01000482,1315,7
W01000483,284,2
W01000484,1219,7
W01000485,1380,8
W01000486,1438,8
W01000487,1068,6
W01000488,1304,7
W01000489,1137,6
W01000492,1063,6
W01000493,1687,9
W01000494,1341,8
W01000496,847,5
W01000497,1247,7
W01000498,292,2
W01000499,563,3
W01000500,1093,6
W01000501,1125,6
W01000502,1198,7
W01000503,1264,7
W01000504,117,1
W01000505,821,5
W01000506,1257,7
W01000507,1213,7
W01000508,871,5
W01000509,899,5
W01000510,370,2
W01000511,125,1
W01000512,1546,9
W01000513,784,5
W01000515,533,3
W01000516,594,4
W01000517,1014,6
W01000518,1045,6
W01000519,1115,6
W01000522,790,5
W01000523,1214,7
W01000524,1040,6
W01000525,1875,10
W01000527,1360,8
W01000528,843,5
W01000529,858,5
W01000531,891,5
W01000532,1111,6
W01000533,755,4
W01000534,1472,8
W01000535,714,4
W01000536,685,4
W01000537,776,5
W01000538,1003,6
W01000539,767,5
W01000540,981,6
W01000541,916,5
W01000542,689,4
W01000543,802,5
W01000544,1076,6
W01000545,1055,6
W01000546,894,5
W01000547,1321,7
W01000548,1266,7
W01000549,1604,9
W01000550,765,5
W01000551,1011,6
W01000552,1270,7
W01000553,1079,6
W01000554,1450,8
W01000555,1402,8
W01000556,1258,7
W01000557,1392,8
W01000558,1148,7
W01000559,880,5
W01000560,1017,6
W01000561,1180,7
W01000562,1218,7
W01000563,848,5
W01000564,1397,8
W01000565,989,6
W01000566,936,5
W01000567,927,5
W01000568,424,3
W01000569,1311,7
W01000570,71,1
W01000571,960,6
W01000572,1205,7
W01000573,1435,8
W01000574,982,6
W01000575,1059,6
W01000576,928,5
W01000577,1289,7
W01000578,1228,7
W01000579,1185,7
W01000580,1555,9
W01000581,1262,7
W01000582,873,5
W01000583,1317,7
W01000584,1136,6
W01000585,1203,7
W01000586,549,3
W01000587,734,4
W01000588,298,2
W01000589,684,4
W01000590,933,5
W01000591,702,4
W01000592,254,2
W01000593,794,5
W01000594,310,2
W01000595,1186,7
W01000596,1523,8
W01000597,1351,8
W01000598,1142,6
W01000599,852,5
W01000600,148,1
W01000601,62,1
W01000602,770,5
W01000603,746,4
W01000604,294,2
W01000605,631,4
W01000606,85,1
W01000607,399,3
W01000608,640,4
W01000609,1538,9
W01000610,1400,8
W01000611,1443,8
W01000612,1207,7
W01000613,1031,6
W01000614,941,5
W01000615,1452,8
W01000616,1430,8
W01000617,738,4
W01000618,1170,7
W01000619,1284,7
W01000620,1056,6
W01000621,892,5
W01000622,1414,8
W01000623,1314,7
W01000624,1398,8
W01000625,384,3
W01000626,434,3
W01000627,1026,6
W01000628,1070,6
W01000629,583,4
W01000630,810,5
W01000631,84,1
W01000632,896,5
W01000633,443,3
W01000634,1220,7
W01000635,1273,7
W01000636,728,4
W01000637,614,4
W01000638,369,2
W01000639,743,4
W01000640,1792,10
W01000641,418,3
W01000642,1406,8
W01000643,971,6
W01000644,1464,8
W01000645,1256,7
W01000646,758,4
W01000647,910,5
W01000648,943,5
W01000649,1440,8
W01000650,793,5
W01000651,1201,7
W01000652,528,3
W01000653,1144,6
W01000654,478,3
W01000655,360,2
W01000656,636,4
W01000657,557,3
W01000658,525,3
W01000659,196,2
W01000660,236,2
W01000662,1066,6
W01000663,1157,7
W01000664,1077,6
W01000665,1680,9
W01000666,1173,7
W01000667,1043,6
W01000670,318,2
W01000671,990,6
W01000672,641,4
W01000673,881,5
W01000674,1112,6
W01000675,1278,7
W01000676,1446,8
W01000677,741,4
W01000678,763,4
W01000679,1067,6
W01000680,1303,7
W01000681,491,3
W01000682,1215,7
W01000683,648,4
W01000684,1146,6
W01000685,673,4
W01000686,1108,6
W01000687,883,5
W01000688,546,3
W01000689,1096,6
W01000690,1283,7
W01000691,1396,8
W01000692,1188,7
W01000693,939,5
W01000694,1437,8
W01000695,503,3
W01000696,906,5
W01000697,890,5
W01000698,972,6
W01000699,1385,8
W01000700,1237,7
W01000701,1024,6
W01000702,854,5
W01000703,499,3
W01000704,1309,7
W01000705,395,3
W01000706,693,4
W01000707,222,2
W01000708,172,1
W01000709,976,6
W01000710,1586,9
W01000711,404,3
W01000712,1299,7
W01000713,1061,6
W01000714,494,3
W01000715,1544,9
W01000716,1209,7
W01000717,824,5
W01000718,683,4
W01000719,835,5
W01000720,1200,7
W01000721,1245,7
W01000722,1445,8
W01000723,787,5
W01000724,818,5
W01000725,955,5
W01000726,1690,9
W01000727,1418,8
W01000728,849,5
W01000729,342,2
W01000730,543,3
W01000731,1296,7
W01000732,396,3
W01000733,17,1
W01000734,144,1
W01000735,1268,7
W01000736,1895,10
W01000737,1825,10
W01000738,81,1
W01000739,460,3
W01000740,1158,7
W01000741,355,2
W01000742,23,1
W01000744,290,2
W01000745,321,2
